,Ticker,Drug,Indication,Stage,Catalyst-date,Catalyst-note
467,ALDR,ALD403 - PROMISE 1,Frequent episodic migraine,phase3,06/27/2017,"Phase 3 PROMISE 1 top-line data released June 27, 2017, Primary and key secondary endpoints met but competitive concerns raised."
468,XENE,TV-45070,Postherpetic neuralgia,phase2b,06/27/2017,"Phase 2b data released June 27, 2017. Endpoints not met."
469,GEMP,Gemcabene - COBALT-1,Homozygous Familial Hypercholesterolemia (HoFH),phase2b,06/28/2017,"Phase 2b data released June 28, 2017 - primary endpoint met."
470,AMGN,Vectibix (Panitumumab),Wild-Type RAS Metastatic Colorectal Cancer,approved,06/29/2017,"sBLA approval announced June 29, 2017."
471,ALKS,ALKS 3831 - ENLIGHTEN-1,Schizophrenia,phase3,06/29/2017,"Phase 3 preliminary data released June 30, 2017. Primary endpoint met - adverse events included weight gain."
472,CARA,CR845 ,Osteoarthritis (OA) ,phase2b,06/29/2017,"Phase 2b data released June 29, 2017 - trial failed."
473,MRK,KEYTRUDA - KEYNOTE-183,Multiple myeloma,phase3,07/05/2017,"Phase 3 clinical hold announced July 6, 2017 - also applies to KEYNOTE-185."
474,BMY,ORENCIA,Psoriatic Arthritis (PsA),approved,07/06/2017,"Approval announced July 6, 2017."
475,RCKT,Trabodenoson and latanoprost,Glaucoma,phase2,07/07/2017,"Phase 2 trial failed - noted July 7, 2017."
476,ONCE,SPK-9001,Hemophilia B,phase1.5,07/10/2017,"Phase 1/2 updated data released July 10, 2017. 99% fall in infusion rate."
477,ARNA,Ralinepag,Pulmonary Arterial Hypertension,phase2,07/10/2017,"Phase 2 data released July 10, 2017. Primary endpoint met. Secondary missed."
478,UTHR,Ralinepag,Pulmonary Arterial Hypertension,phase2,07/10/2017,"Phase 2 data released July 10, 2017. Primary endpoint met. Secondary missed."
479,IMRN,IMM-124E,Nonalcoholic steatohepatitis (NASH),phase2,07/10/2017,"Phase 2 top-line data due 4Q 2017. Interim analysis July 10, 2017 showed no statistical difference with placebo."
480,PFE,Mylotarg (gemtuzumab ozogamicin),Acute myeloid leukemia (AML),,07/11/2017,"Advisory Committee Meeting July 11, 2017 voted in favor 6-1 of a favorable risk:benefit profile."
481,BMRN,Valoctocogene roxaparvovec (BMN 270),Hemophilia A,phase1.5,07/11/2017,"Phase 1/2 updated data released July 11, 2017. 97% reduction in Annualized Bleed Rate (ABR). "
482,AMGN,BLINCYTO,Ph+ R/R ALL,approved,07/11/2017,"PDUFA date under priority review August 14, 2017. Approval announced July 11, 2017."
483,KDMN,KD025 - ROCKstar (KD025-213),Chronic graft-versus-host disease (cGVHD),phase2,07/11/2017,"Phase 2 interim data presented July 11, 2017. ORR 71%."
484,OCUL,DEXTENZA,Ocular inflammation and pain following cataract surgery,crl,07/11/2017,"CRL July 25 2016 - due to manufacturing deficiencies. NDA resubmitted, PDUFA date July 19, 2017. Further CRL issued July 11, 2017 with FDA noting deficiencies in manufacturing processes and analytical testing."
485,SVRA,Aironite - INDIE,Heart failure with preserved ejection fraction (HFpEF),phase2,07/11/2017,"Phase 2 interim data released July 11, 2017."
486,AMGN,KYPROLIS (ASPIRE),Relapsed Multiple Myeloma,phase3,07/12/2017,Phase 3 trial met primary endpoint. HR 79%.
487,LGND,KYPROLIS (ASPIRE),Relapsed Multiple Myeloma,phase3,07/12/2017,Phase 3 trial met primary endpoint. HR 79%.
488,NVS,Kymriah (CTL019),Relapsed/Refractory B-Cell Acute lymphoblastic leukemia,,07/12/2017,"Advisory Committee Meeting July 12, 2017 voted 10-0 recommending approval."
489,JNJ,Guselkumab,Plaque psoriasis,approved,07/13/2017,"Approval announced July 13, 2017."
490,AMGN,EVENITY (Romosozumab),Osteoporosis,crl,07/16/2017,"CRL issued July 16, 2017. "
491,PRTK,Omadacycline - oral,Acute bacterial skin and skin structure infections (ABSSSI),phase3,07/17/2017,"Phase 3 data released July 17, 2017 - all endpoints met."
492,CBAY,Seladelpar,Primary biliary cholangitis (PBC),phase2,07/17/2017,"Phase 2 top-line data released late May 2016. Positive interim data from second trial data released July 17, 2017."
493,PBYI,Neratinib (NERLYNX),Extended adjuvant HER2-positive early stage breast cancer,approved,07/17/2017,"Approval announced July 17, 2017. "
494,GILD,Vosevi (Sofosbuvir/Velpatasvir/Voxilaprevir),Hepatitis C virus (HCV),approved,07/18/2017,"Approval announced July 18, 2017."
495,VRTX,VX-440 in combination with tezacaftor and ivacaftor,Cystic fibrosis who have one F508del mutation and one minimal function mutation and patients with two copies of the F508del mutation,phase2,07/18/2017,"Phase 2 data released July 18, 2017. ppFEV1 of 12.0 percentage points."
496,VRTX,VX-152 in combination with tezacaftor and ivacaftor,Cystic fibrosis who have one F508del mutation and one minimal function mutation and patients with two copies of the F508del mutation,phase2,07/18/2017,"Phase 2 data released July 18, 2017. ppFEV1 of 9.7 percentage points."
497,VRTX,VX-659 in combination with tezacaftor and ivacaftor,Cystic fibrosis (CF) who have one F508del mutation and one minimal function mutation (F508del/Min),phase1,07/18/2017,"Phase 1 data released July 18, 2017. ppFEV1 of 9.6 percentage points."
498,TBPH,Revefenacin,COPD,phase3,07/19/2017,"12 month safety trial data released July 19, 2017 with NDA filing due 4Q 2017."
499,MYL,Revefenacin,COPD,phase3,07/19/2017,"12 month safety trial data released July 19, 2017 with NDA filing due 4Q 2017."
500,BVXV,M-001,Universal flu vaccine,phase2b,07/20/2017,"Phase 2b data released July 20, 2017 - endpoints met."
501,IRWD,IW-3718,Gastroesophageal reflux disease (GERD),phase2b,07/20/2017,"Phase 2b data released July 20, 2017. Primary endpoint met but data below expectations."
502,GSK,Benlysta (belimumab) - subcutaneous,Systemic lupus erythematosus (SLE),approved,07/21/2017,"Approval announced July 21, 2017."
503,GNCA,GEN-003,Genital herpes,phase2b,07/24/2017,"Phase 2b data released January 6, 2017. 12-month data released July 24, 2017. Phase 3 to commence 4Q 2017."
504,RETA,Bardoxolone methyl - CARDINAL,Chronic Kidney Disease Caused by Alport Syndrome,phase2,07/24/2017,"Phase 2/3 trial initiation announced February 23, 2017. Data from Phase 2 part of trial released July 24, 2017."
505,NVAX,RSV F Vaccine immunogenicity trial,Respiratory Syncytial Virus (RSV) in older adults,phase2,07/24/2017,"Phase 2 safety and immunogenicity data released July 24, 2017 - efficacy trial to be initiated 2018."
506,MRK,KEYNOTE-040 KEYTRUDA,Recurrent or metastatic head and neck squamous cell carcinoma (HNSCC),phase3,07/24/2017,"Phase 3 trial did not meet primary endpoint - July 24, 2017. Awarded accelerated approval in 2016."
507,TTPH,Eravacycline (TP-434) - IGNITE4,cIAI (complicated intra-abdominal infections),phase3,07/25/2017,"Phase 3 data released July 25, 2017 - primary endpoint met. NDA filing due 1Q 2018."
508,PCRX,EXPAREL,Post surgical pain,phase3,07/25/2017,"Phase 3 data released July 25, 2017. Upper extremity met primary endpoint, lower extremity trial missed endpoint."
509,EGRX,Ryanodex,Exertional heat stroke (EHS),crl,07/26/2017,"CRL issued July 26, 2017. Additional trial required."
510,AZN,Durvalumab +/- tremelimumab (MYSTIC),Lung cancer ,phase3,07/27/2017,"Phase 3 data released July 27, 2017 - primary endpoint not met."
511,DVAX,HEPLISAV-B ,Hepatitis B,,07/28/2017,"Advisory Committee Meeting July 28, 2017 voted 11 -1 in favor of recommending approval."
512,RDHL,RHB-104 MAP US2,Crohn’s disease,phase3,07/31/2017,"Phase 3 DSMB safety analysis released December 13, 2016 - trial to continue as planned. Further analysis July 31, 2017 recommended trial continue as planned."
513,NVIV,Neuro-Spinal Scaffold: INSPIRE 2.0,Complete Thoracic AIS A Spinal Cord Injury,phase3,07/31/2017,"Noted July 31, 2017 that enrollment has been temporarily halted as it discusses potential changes to patient enrollment criteria due to patient deaths - enrollment now due to be completed 1H 2018 with Humanitarian Device Exemption (HDE) application due 2H 2018."
514,ICPT,Obeticholic acid (OCA) AESOP,Primary Sclerosing Cholangitis (PSC),phase2,07/31/2017,"Phase 2 data released July 31, 2017 - primary endpoint met."
515,ICPT,Obeticholic acid (OCA)  - CONTROL,NASH patients taking statins,phase2,07/31/2017,"Phase 2 primary endpoint met - July 31, 2017. One patient death noted but DSMB noted unlikely to be related to OCA (company unsure)."
516,ACRX,Zalviso,Post-operative pain following open abdominal surgery and hip or knee replacement surgery,phase3,08/01/2017,"Phase 2 data released August 1, 2017."
517,AGIO,IDHIFA (enasidenib) - AG-221 ,Advanced hematologic malignancies with an IDH2 mutation,approved,08/01/2017,"Approval announced August 1, 2017."
518,CELG,IDHIFA (enasidenib) - AG-221 ,Advanced hematologic malignancies with an IDH2 mutation,approved,08/01/2017,"Approval announced August 1, 2017."
519,BMY,CM-142 – Opdivo ,(dMMR) or microsatellite instability high (MSI-H) metastatic colorectal cancer (CRC),approved,08/01/2017,"Approval announced August 1, 2017."
520,JNJ,Sirukumab ,Rheumatoid arthritis,,08/02/2017,"BLA filing announced September 23, 2016. PDUFA estimate September 23, 2017. Advisory Committee Meeting August 2, 2017 voted 12-1 against that safety data is adequate to support approval. 13-0 in favor of efficacy."
521,ABBV,Imbruvica,Second-line Chronic graft-versus-host disease (GVHD),approved,08/02/2017,"Approval announced August 2, 2017."
522,TBPH,Velusetrag (TD-5108),Gastroparesis,phase2b,08/02/2017,"Phase 2b data released August 2, 2017. Primary endpoint not met."
523,JNJ,Imbruvica,Second-line Chronic graft-versus-host disease (GVHD),approved,08/02/2017,"Approval announced August 2, 2017."
524,ONCE,SPK-8011,Hemophilia A,phase1.5,08/02/2017,"Phase 1/2 promising initial data released from first two patients - August 2, 2017. 11% and 14% Factor VIII."
525,CRIS,Fimepinostat (CUDC-907) and venetoclax,Diffuse-large B-cell lymphoma (DLBCL),phase2,08/03/2017,"Phase 2 initial data released August 3, 2017 - ORR 19%."
526,JAZZ,Vyxeos,Acute myeloid leukemia,approved,08/03/2017,"Approval announced August 3, 2017."
527,ENTA,Glecaprevir/Pibrentasvir (G/P) ,Hepatitis C virus (HCV),approved,08/03/2017,"Approval announced August 3, 2017."
528,ABBV,Glecaprevir/Pibrentasvir (G/P) ,Hepatitis C virus (HCV),approved,08/03/2017,"Approval announced August 3, 2017."
529,PFE,Xeljanz,Psoriatic arthritis,,08/03/2017,"PDUFA date December 2017. No exact date given. December 31, 2017 noted as last possible date using guidance of ""December 31"". Advisory Committee Meeting August 3, 2017 voted 10-1 in favor of recommending approval."
530,LLY,Lasmiditan - SPARTAN,Migraine,phase3,08/04/2017,"Phase 3 data released August 4, 2017 - endpoints met. NDA filing due 2H 2018."
531,FGEN,Pamrevlumab (FG-3019) - ZEPHYRUS,Idiopathic pulmonary fibrosis,phase2,08/07/2017,"Phase 2 data released August 7, 2017 - primary endpoint met."
532,MYOK,Mavacamten (MYK-461) - EXPLORER-HCM,Hypertrophic cardiomyopathy (HCM),phase2,08/07/2017,"Phase 2 data released August 7, 2017 - primary endpoint met. "
533,BHC,Latanoprostene bunod,Open angle glaucoma (OAG) or ocular hypertension (OHT),crl,08/07/2017,"CRL issued August 7, 2017."
534,ZYNE,ZYN002,Adult Epilepsy Patients with Refractory Focal Seizures,phase2,08/07/2017,"Phase 2 data released August 7, 2017 - endpoints not met."
535,GEMP,Gemcabene - ROYAL-1,Heterozygous Familial Hypercholesterolemia (HeFH),phase2b,08/07/2017,"Phase 2b data released August 7, 2017 - primary endpoint met but lower than expectations."
536,ESPR,Bempedoic Acid/ Ezetimibe,Hypercholesterolemia,phase2,08/08/2017,"Phase 2 data released August 8, 2017. Primary endpoint met."
537,ABIO,Gencaro,Chronic Heart Failure,phase2b,08/09/2017,"Phase 2b interim analysis August 9, 2018 - trial to continue to completion. Data 1Q 2018."
538,GLPG,ISABELA  - GLPG1690 ,Idiopathic pulmonary fibrosis,phase2a,08/09/2017,"Phase 2a top-line data released August 10, 2017. Disease progression halted. Further trials planned."
539,TGTX,TG-1101 and TGR-1202 - UNITY-NHL study,Non-Hodgkin Lymphoma (NHL) ,phase2b,08/10/2017,"Phase 2b enrollment commenced June 2016. First interim analysis August 10, 2017 determined that enrollment in TGR-1202 arm will stop but continue in TG-1101 + TGR-1202 arm. TGR-1202 arm replaced by combo of TG-1101, TGR-1202, and bendamustine."
540,ISEE,Fovista,Wet age-related macular degeneration (Wet-AMD),phase3,08/14/2017,"Phase 3 data released December 12, 2016 - primary endpoint not met. Data from third trial released August 14, 2017- primary endpoint not met. "
541,CVM,Multikine,Head and Neck cancer,phase3,08/14/2017,"Initiated Dec 2010. Announced partial clinical hold September 27, 2016. Full clinical hold noted May 2017. Clinical hold released - August 14, 2017."
542,REGN,REGN2222,Respiratory syncytial virus (RSV),phase3,08/14/2017,"Phase 3 data released August 14, 2017 - primary endpoint not met."
543,ZYNE,ZYN002 - STOP,Osteoarthritis,phase2,08/14/2017,"Phase 2 data released August 14, 2017 - primary endpoint not met. However, company still intends to initiate Phase 3 trial pending discussions with FDA."
544,BMY,CM-214 – Opdivo + Yervoy,First-line Renal cell carcinoma (RCC),phase3,08/15/2017,"Phase 3 data released August 15, 2017 - one of two co-primary endpoints met."
545,AZN,Lynparza - SOLO 2,Second-line ovarian cancer,approved,08/17/2017,"Approval announced August 17, 2017."
546,PFE,Inotuzumab Ozogamicin,Relapsed or Refractory Acute Lymphoblastic Leukemia in Adults,approved,08/17/2017,"Approval announced August 17, 2017."
547,IRWD,DUZALLO (LESINURAD AND ALLOPURINOL),Hyperuricemia associated with gout,approved,08/21/2017,"Approval announced August 21, 2017."
548,RARE,Aceneuramic acid extended release (Ace-ER),GNE Myopathy,phase3,08/22/2017,"Phase 3 data released August 22, 2017 - endpoints not met."
549,ADMS,ADS-5102,Levodopa-Induced Dyskinesia,approved,08/24/2017,"Approval announced August 24, 2017."
550,NVO,Victoza (liraglutide),Type 2 diabetes,approved,08/25/2017,"Approval announced August 25, 2017."
551,KMDA,KamRAB,Prophylaxis of rabies disease,approved,08/25/2017,"Approval announced August 25, 2017."
552,XOMA,ACZ885 (canakinumab) ,CV risk reduction,phase3,08/27/2017,"Data presented August 27, 2017 showed a 77% reduction in lung cancer mortality."
553,NVS,ACZ885 (canakinumab) ,CV risk reduction,phase3,08/27/2017,"Data presented August 27, 2017 showed a 77% reduction in lung cancer mortality."
554,AZN,Faslodex (fulvestrant),"Monotherapy for expanded use in women with HR+, HER2- advanced breast cancer",approved,08/28/2017,"Expanded approval announced August 28, 2017."
555,MRK,Anacetrapib (MK-0859),Raising HDL-C and reducing LDL-C,phase3,08/29/2017,"Phase 3 data due released June 27, 2017. Primary endpoint met but noted August 29, 2017 that key secondary endpoint was not met."
556,MDCO,Meropenem-vaborbactam,Complicated urinary tract infections (cUTI),approved,08/29/2017,"Approved August 29, 2017."
557,OTIC,OTO-104 AVERTS-1 ,Meniere's disease,phase3,08/30/2017,Phase 3 data released August 30 failed to meet primary and key secondary endpoints.
558,OTIC,OTIVIDEX,Ménière's disease,phase3,08/30/2017,"Phase 3 development suspended following failure of AVERTS-1 trial - August 30, 2017."
559,NVS,Kymriah (CTL019),Relapsed/Refractory B-Cell Acute lymphoblastic leukemia,approved,08/30/2017,"PDUFA date under priority review announced March 29, 2017. Approval announced early - August 30, 2017."
560,UTHR,Trevyent,Pulmonary Arterial Hypertension (PAH),,08/31/2017,"Refusal to file Letter (RTF) issued August 31, 2017 in response to NDA filing."
561,CORV,Trevyent,Pulmonary Arterial Hypertension (PAH),,08/31/2017,"Refusal to file Letter (RTF) issued August 31, 2017 in response to NDA filing."
562,PFE,Mylotarg (gemtuzumab ozogamicin),Acute myeloid leukemia (AML),approved,09/01/2017,"Approval announced September 1, 2017."
563,CLLS,UCART123,Acute myeloid leukemia (AML) and in blastic plasmacytoid dendritic cell neoplasm (BPDCN).,phase1,09/04/2017,"Clinical hold announced September 4, 2017 following one fatality in the BPDCN clinical trial (ABC study)."
564,BLPH,INOpulse delivery device,Pulmonary Hypertension associated with COPD (PH-COPD),phase2,09/05/2017,"Phase 2 trial met primary endpoint - noted September 5, 2017."
565,NVS,Fingolimod,Multiple Sclerosis (MS),phase3,09/05/2017,Phase 3 trial met primary endpoint.
566,VYGR,VY-AADC01,Advanced Parkinson’s disease,phase1b,09/06/2017,"Phase 1b trial ongoing. Interim data released December 7, 2016. Positive Cohort 3 data released September 6, 2017. Phase 2/3 trial to commence late 2017."
567,VSTM,Duvelisib - DUO,Chronic lymphocytic leukemia (CLL)//Small Lymphocytic Lymphoma (SLL)/Follicular Lymphoma,phase3,09/06/2017,"Phase 3 data released September 6, 2017 - primary endpoint met."
568,SRPT,Golodirsen - Exon 53,Duchenne muscular dystrophy,phase1.5,09/06/2017,"Phase 1/2 data released September 6, 2017 - endpoints met."
569,NLNK,Indoximod in combination with KEYTRUDA or Opdivo - Indigo301,Melanoma - cancer,phase2,09/07/2017,"Updated data released September 7, 2017 showed improvement in Complete Response (CR) to 20% (10/51 patients) compared to CR of 12% (6/51 patients)."
570,VRNA,RPL554,COPD,phase2a,09/07/2017,"Phase 2a positive data released September 7, 2017."
571,AMGN,Tezepelumab - NAVIGATOR,Asthma,phase2b,09/07/2017,"Phase 2b data released September 7, 2017 - primary endpoint met."
572,AZN,Tezepelumab - NAVIGATOR,Asthma,phase2b,09/07/2017,"Phase 2b data released September 7, 2017 - primary endpoint met."
573,CELG,Durvalumab - FUSION,"Relapsed and/or refractory multiple myeloma (RRMM), myelodysplastic syndromes and AML",phase1.5,09/07/2017,"Phase 1/2 MM trials placed on clinical hold - September 7, 2017. AML/MDS trials to continue."
574,BMY,CM-214 – Opdivo + Yervoy,First-line Renal cell carcinoma (RCC),phase3,09/07/2017,Phase 3 trial stopped early due to clear efficacy.
575,KURA,Tipifarnib - (AIM-HN/SEQ-HN),Head and neck squamous cell carcinomas (HNSCC),phase2,09/07/2017,Phase 2 trial met primary endpoint prior to completion of enrollment.
576,ABBV,ABT-494,Atopic Dermatitis,phase2b,09/07/2017,"Phase 2b data released September 7, 2017 - primary endpoint met."
577,ADMS,ADS-4101,Partial onset seizures in patents with epilepsy,phase1b,09/07/2017,"Phase 1b top-line data released September 7, 2017."
578,IMDZ,CMB305 ,Soft tissue sarcomas,phase2,09/08/2017,"Phase 2 data at ESMO September 2017. PFS 2.6 months, Disease Control Rate 61%."
579,UTHR,Orenitram ,Pulmonary arterial hypertension (PAH),phase3,09/08/2017,"Phase 3 data due 2H 2018. Independent data monitoring committee (DMC) noted September 8, 2017 that the trial should continue following its interim analysis."
580,LLY,KEYTRUDA + chemo (KEYNOTE-021),First-Line Nonsquamous Non-small cell lung cancer (NSCLC),phase2,09/08/2017,"Phase 2 data presented at ESMO 2017 - ORR 57%, PFS 19 months, HR 0.54"
581,MRK,KEYTRUDA + chemo (KEYNOTE-021),First-Line Nonsquamous Non-small cell lung cancer (NSCLC),phase2,09/08/2017,"Phase 2 data presented at ESMO 2017 - ORR 57%, PFS 19 months, HR 0.54"
582,BGNE,Pamiparib (BGB-290),Solid tumors - cancer,phase1.5,09/08/2017,Phase 1/2 preliminary data presented at ESMO 2017 - ORR 33%.
583,SGEN,Tisotumab Vedotin (innovaTV 204 ),Cervical Cancer,phase1.5,09/08/2017,Phase 1/2 data presented at ESMO 2017. Response rate 32%.
584,GMAB,Tisotumab Vedotin (innovaTV 204 ),Cervical Cancer,phase1.5,09/08/2017,Phase 1/2 data presented at ESMO 2017. Response rate 32%.
585,AZN,Durvalumab (PACIFIC),Lung cancer ,phase3,09/09/2017,"Late breaker at ESMO September 9, 2017 showed PFS 16.8 months v 5.6 months for placebo."
586,EXEL,Cabozantinib - CABOSUN,First-Line RCC - cancer,phase2,09/09/2017,Late breaker at ESMO September 2017 showed PFS 8.6 months versus 5.3 months for sunitinib. HR 0.48
587,BMY,CM-238 – Opdivo (Adjuvant),Melanoma,phase3,09/10/2017,"Phase 3 interim data released June 6, 2017 - primary endpoint met. Data presented at ESMO September 10, 2017 - HR 0.65 compared to Yervoy."
588,BPMC,BLU-554,Advanced hepatocellular carcinoma (HCC),phase1,09/10/2017,"Updated Phase 1 presented at ESMO September 10, 2017. 16% ORR in patients with FGFR4-driven HCC. 49% had tumor reduction."
589,MRNS,Ganaxolone - Marigold,CDKL5 Deficiency Disorder (CDD),phase2,09/11/2017,"Phase 2 top-line data released September 11, 2017. "
590,LGND,Ganaxolone - Marigold,CDKL5 Deficiency Disorder (CDD),phase2,09/11/2017,"Phase 2 top-line data released September 11, 2017. "
591,ACHN,JNJ-4178 ,Hepatitis C (HCV) ,phase2a,09/11/2017,"Janssen noted September 11, 2017 that no further development planned."
592,PFE,XALKORI (crizotinib),ALK-positive advanced non-small cell lung cancer(NSCLC),phase3,09/11/2017,Phase 3 data presented at ESMO 2017 - Overall survial HR=0.760 (p=0.09)
593,INO,INO-5150,Prostate cancer,phase1b,09/11/2017,Phase 1b interim data presented at ESMO 2017.
594,ACHN,JNJ-4178 - OMEGA-1,Hepatitis C (HCV) ,phase2b,09/11/2017,"Janssen noted September 11, 2017 that no further development planned."
595,REGN,Dupixent (dupilumab),Asthma,phase3,09/11/2017,"Phase 3 data released September 11, 2017 - primary endpoints met. 46% improvement after 52 weeks in 300 mg group. sBLA filing due by end of 2017."
596,SNY,Dupixent (dupilumab),Asthma,phase3,09/11/2017,"Phase 3 data released September 11, 2017 - primary endpoints met. 46% improvement after 52 weeks in 300 mg group. sBLA filing due by end of 2017."
597,FPRX,FP-1039,Mesothelioma cancer,phase1b,09/11/2017,Data at ESMO showed ORR 48%.
598,SAGE,SAGE-547,SRSE,phase3,09/12/2017,"Phase 3 data released September 12, 2017 - primary endpoint not met."
599,ALDX,ADX-102 - topical ocular reproxalap - RENEW,Dry eye syndrome,phase2a,09/12/2017,"Phase 2a data released September 11, 2017 - noted  statistically and clinically significant activity."
600,GSK,Shingrix ,Shingles,,09/13/2017,"Advisory Committee Meeting September 13, 2017 voted 11-0 in favor. PDUFA estimate October 24, 2017. "
601,VNDA,Tradipitant,Atopic dermatitis,phase2,09/13/2017,"Phase 2 data released September 13, 2017 - primary endpoint not met."
602,AGEN,Shingrix ,Shingles,,09/13/2017,"Advisory Committee Meeting September 13, 2017 voted 11-0 in favor. Shingrix, containing Agenus' adjuvant, QS-21 Stimulon."
603,FOLD,SD-101 ,Epidermolysis Bullosa (EB),phase3,09/13/2017,"Phase 3 top-line data released September 13, 2017 - endpoints not met."
604,AMGN,MVASITM (bevacizumab-awwb),Biosimilar candidate to Avastin (bevacizumab),approved,09/14/2017,"Approved September 14, 2017."
605,AZN,Bydureon ,Type 2 Diabetes ,phase3,09/14/2017,"Phase 3 Cardiovascular Outcome trial data released September 14, 2017 - primary efficacy objective of a superior reduction in MACE missed statistical significance (p=0.061)."
606,AGN,MVASITM (bevacizumab-awwb),Biosimilar candidate to Avastin (bevacizumab),approved,09/14/2017,"Approved September 14, 2017."
607,PFE,XTANDI (PROSPER),Non-metastatic high risk hormone-sensitive prostate cancer,phase3,09/14/2017,"Phase 3 data released September 14, 2017 - primary endpoint met."
608,NEOS,NT-0201,Attention deficit hyperactivity disorder (ADHD),approved,09/15/2017,"Approval announced September 15, 2017."
609,OPTN,XHANCE,Nasal polyps,approved,09/17/2017,"Approval announced September 18, 2017 (prior to IPO)."
610,GSK,Trelegy Ellipta (FF/UMEC/VI),Chronic obstructive pulmonary disease (COPD),approved,09/18/2017,"Approval announced September 18, 2017."
611,INVA,Trelegy Ellipta (FF/UMEC/VI),Chronic obstructive pulmonary disease (COPD),approved,09/18/2017,"Approval announced September 18, 2017."
612,ABBV,Venclexta (MURANO),Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),phase3,09/18/2017,"Phase 3 data released September 18, 2017 - PFS primary endpoint met."
613,RHHBY,Venclexta (MURANO),Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),phase3,09/18/2017,"Phase 3 data released September 18, 2017 - PFS primary endpoint met."
614,NBRV,Lefamulin - Intravenous and Oral,Moderate to severe Community Acquired Bacterial Pneumonia (CABP),phase3,09/18/2017,"Phase 3 data released September 18, 2017 - primary endpoints met."
615,SUPN,SPN-810,Impulsive Aggression in ADHD,phase3,09/18/2017,"Noted September 18, 2017 that the lower of the two doses will be discontinued following interim analysis."
616,PFE,Sutent (Sunitinib),Renal cell carcinoma (RCC),,09/19/2017,"Advisory Committee Meeting September 19, 2017 voted 6-6 the benefits outweigh risks."
617,ALNY,Patisiran ,Familial Amyloidotic Polyneuropathy (FAP) in Patients with ATTR,phase3,09/20/2017,"Phase 3 top-line data released September 20, 2017 - all endpoints met. NDA filing due by end of 2017."
618,SNY,Patisiran ,Familial Amyloidotic Polyneuropathy (FAP) in Patients with ATTR,phase3,09/20/2017,"Phase 3 top-line data released September 20, 2017 - all endpoints met. NDA filing due by end of 2017."
619,TBPH,Closed Triple - IMPACT,COPD,phase3,09/20/2017,"Phase 3 data released September 20, 2017 - primary endpoint met."
620,GSK,Closed Triple - IMPACT,COPD,phase3,09/20/2017,"Phase 3 data released September 20, 2017 - primary endpoint met."
621,INVA,Closed Triple - IMPACT,COPD,phase3,09/20/2017,"Phase 3 data released September 20, 2017 - primary endpoint met."
622,KPTI,Selinexor - SEAL,Dedifferentiated liposarcoma,phase23,09/20/2017,"Phase 2/3 trial initiated January 2016.Topline data for the Phase 2 portion released September 20, 2017 - PFS HR 0.60. Phase 3 data due 2019."
623,ARAV,VRS-317 VELOCITY,"Growth hormone deficiency, or GHD - pediatric",phase3,09/21/2017,"Phase 3 top-line data released September 21, 2017 - primary endpoint not met."
624,BCRX,RAPIVAB (peramivir injection),Acute uncomplicated influenza to pediatric patients,approved,09/21/2017,"Approved September 21, 2017."
625,BMY,Opdivo (CM-040),Previously Treated Hepatocellular Carcinoma,approved,09/22/2017,"Approved under priority review September 22, 2017."
626,MRK,Keytruda,Cancer - Third-line Gastric or Gastroesophageal Junction Adenocarcinoma,approved,09/22/2017,"Approved September 22, 2017 - under priority review."
627,JNJ,Sirukumab ,Rheumatoid arthritis,crl,09/22/2017,"CRL issued September 22, 2017. Advisory Committee Meeting August 2, 2017 voted 12-1 against that safety data is adequate to support approval. 13-0 in favor of efficacy."
628,EXEL,Esaxerenone (CS-3150),Essential hypertension,phase3,09/24/2017,"Phase 3 trial met primary endpoint - September 24, 2017. Japanese regulatory filing due 1Q 2018."
629,GNCA,GEN-003,Genital herpes,,09/25/2017,"Announced September 25, 2017 that development will be ceased."
630,IPCIF,Rexista,Pain relief,crl,09/25/2017,"CRL issued September 25, 2017. Advisory Committee Meeting July 26, 2017 had previously voted 22-1 against recommending approval."
631,ABUS,ARB-1467,Hepatitis B (HBV),phase2,09/25/2017,"Phase 2 Cohort 4 data released September 25, 2017 with detailed data due at AASLD in October 2017."
632,PRQR,QR-010 ,Cystic Fibrosis,phase1b,09/25/2017,"Phase 1b top-line data released September 25, 2017. FEV levels not significant across four doses. One of four doses showed significance in subgroup."
633,FCSC,FCX-007 - DEFI-RDEB,Recessive dystrophic epidermolysis bullosa,phase1.5,09/26/2017,"Phase 1/2 initial data from three patients released September 26, 2017."
634,PTCT,Translarna,Duchenne muscular dystrophy caused by nonsense mutations (nmDMD),,09/28/2017,"Received a Refusal to File letter for their NDA Filing - February 23 2016. Appeal rejected October 17, 2016.  Decision made to resubmit NDA during 1Q 2017 under protest. New PDUFA date October 24, 2017. Advisory Committee Meeting September 28, 2017 voted that although it is possible that ataluren may be effective, the data are inconclusive, and more work would be needed to establish whether ataluren is effective."
635,ZYNE,ZYN002,Fragile X syndrome,phase2,09/28/2017,"Phase 2 data released September 28, 2017. Company noted data were positive with primary endpoint met. Note though that trial was uncontrolled/open-label."
636,PRTA,PRX003,Psoriatic Arthritis,phase1b,09/28/2017,"Phase 1b data released September 28, 2017 - insufficient meaningful clinical effect for further development."
637,ZGNX,FINTEPLA (ZX008),Dravet syndrom,phase3,09/29/2017,"Phase 3 data released September 29, 2017 - primary endpoint met."
